CONCEPTO,DESCRIPCION,,,
1100,Remuneraciones al personal de carácter permanente,,,
1200,Remuneraciones al personal de carácter transitorio,,,
1300,Remuneraciones adicionales y especiales,,,
1400,Seguridad social,,,
1500,Otras prestaciones sociales y económicas,,,
1600,Previsiones,,,
1700,Pago de estímulos a servidores públicos,,,
2100,"Materiales de administracion, emision de documentos y articulos oficiales",,,
2100,"Materiales de administración, emisión de documentos y artículos oficiales",,,
2200,Alimentos y utensilios,,,
2300,Materias primas y materiales de produccion y comercializacion,,,
2300,Materias primas y materiales de producción y comercialización,,,
2400,Materiales y articulos de construccion y de reparacion,,,
2400,Materiales y artículos de construcción y de reparación,,,
2500,"Productos químicos, farmacéuticos y de laboratorio",,,
2500,"Productos quimicos, farmaceuticos y de laboratorio",,,
2600,"Combustibles, lubricantes y aditivos",,,
2700,"Vestuario, blancos, prendas de protección y artículos deportivos",,,
2700,"Vestuario, blancos, prendas de proteccion y articulos deportivos",,,
2800,Materiales y suministros para seguridad,,,
2900,"Herramientas, refacciones y accesorios menores",,,
3100,Servicios basicos,,,
3100,Servicios básicos,,,
3200,Servicios de arrendamiento,,,
3300,"Servicios profesionales, cientificos, tecnicos y otros servicios",,,
3300,"Servicios profesionales, científicos, técnicos y otros servicios",,,
3400,"Servicios financieros, bancarios y comerciales",,,
3500,"Servicios de instalacion, reparacion, mantenimiento y conservacion",,,
3500,"Servicios de instalación, reparación, mantenimiento y conservación",,,
3600,Servicios de comunicación social y publicidad,,,
3600,Servicios de comunicacion social y publicidad,,,
3700,Servicios de traslado y viáticos,,,
3700,Servicios de traslado y viaticos,,,
3800,Servicios oficiales,,,
3900,Otros servicios generales,,,
4100,Transferencias internas y asignaciones al sector público,,,
4100,Transferencias internas y asignaciones al sector publico,,,
4200,Transferencias al resto del sector publico,,,
4200,Transferencias al resto del sector público,,,
4300,Subsidios y subvenciones,,,
4400,Ayudas sociales,,,
4500,Pensiones y jubilaciones,,,
4600,"Transferencias a fideicomisos, mandatos y otros analogos",,,
4600,"Transferencias a fideicomisos, mandatos y otros análogos",,,
4700,Transferencias a la seguridad social,,,
4800,Donativos,,,
4900,Transferencias al exterior,,,
5100,Mobiliario y equipo de administración,,,
5100,Mobiliario y equipo de administracion,,,
5200,Mobiliario y equipo educacional y recreativo,,,
5300,Equipo e instrumental medico y de laboratorio,,,
5400,Vehículos y equipo de transporte,,,
5400,Vehiculos y equipo de transporte,,,
5500,Equipo de defensa y seguridad,,,
5600,"Maquinaria, otros equipos y herramientas",,,
5700,Activos biologicos,,,
5700,Activos biológicos,,,
5800,Bienes inmuebles,,,
5900,Activos intangibles,,,
6100,Obra publica en bienes de dominio publico,,,
6100,Obra pública en bienes de dominio público,,,
6200,Obra publica en bienes propios,,,
6200,Obra pública en bienes propios,,,
6300,Proyectos productivos y acciones de fomento,,,
7100,Inversiones para el fomento de actividades productivas,,,
7200,Acciones y participaciones de capital,,,
7300,Compra de titulos y valores,,,
7300,Compra de títulos y valores,,,
7400,Concesión de prestamos,,,
7400,Concesion de prestamos,,,
7500,"Inversiones en fideicomisos, mandatos y otros análogos",,,
7500,"Inversiones en fideicomisos, mandatos y otros analogos",,,
7600,Otras inversiones financieras,,,
7900,Provisiones para contingencias y otras erogaciones especiales,,,
8100,Participaciones,,,
8300,Aportaciones,,,
8500,Convenios,,,
9100,Amortización de la deuda pública,,,
9100,Amortizacion de la deuda publica,,,
9200,Intereses de la deuda publica,,,
9200,Intereses de la deuda pública,,,
9300,Comisiones de la deuda publica,,,
9300,Comisiones de la deuda pública,,,
9400,Gastos de la deuda publica,,,
9400,Gastos de la deuda pública,,,
9500,Costo por coberturas,,,
9600,Apoyos financieros,,,
9900,Adeudos de ejercicios fiscales anteriores (ADEFAS),,,