PARTIDA_GENERICA,DESCRIPCION,,,
3407,Otros impuestos y derechos,,,
3409,"Patentes, regalías y otros",,,
3411,Servicios de vigilancia,,,
3413,Otros servicios comerciales,,,
3414,Subcontratación de servicios con terceros,,,
3418,Impuesto sobre nóminas,,,
3501,Mantenimiento y conservación de mobiliario y equipo de administración,,,
3502,Mantenimiento y conservación de bienes informáticos,,,
3503,Mantenimiento y conservación de maquinaria y equipo,,,
3504,Mantenimiento y conservación de inmuebles,,,
3505,"Servicios de lavandería, limpieza, higiene y fumigación",,,
3506,"Mantenimiento y conservación de vehículos terrestres, aéreos, marítimos, lacustres y fluviales",,,
3602,Impresión y elaboración de material informativo derivado de la operación y administración de las dependencias y entidades,,,
3603,Información en medios masivos derivada de la operación y administración de las dependencias y entidades,,,
3701,Difusión de mensajes sobre programas y actividades gubernamentales,,,
3803,Gastos de orden social,,,
3804,Congresos y convenciones,,,
3811,Pasajes nacionales para servidores públicos de mando en el desempeño de comisiones y funciones oficiales,,,
3813,Pasajes internacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
3817,Viáticos nacionales para servidores públicos en el desempeño de funciones oficiales,,,
3819,Viáticos en el extranjero para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
3826,Cuotas y aportaciones a organismos internacionales,,,
3827,Asignaciones a los grupos parlamentarios,,,
3828,Servicios integrales nacionales para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
3901,"Penas, multas, accesorios y actualizaciones",,,
3904,Erogaciones por resoluciones judiciales,,,
5101,Mobiliario,,,
5102,Equipo de administración,,,
5103,Equipo educacional y recreativo,,,
5104,Bienes artísticos y culturales,,,
5202,Maquinaria y equipo industrial,,,
5204,Equipos y aparatos de comunicaciones y telecomunicaciones,,,
5205,Maquinaria y equipo eléctrico y electrónico,,,
5206,Bienes informáticos,,,
5304,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios administrativos",,,
5401,Equipo médico y de laboratorio,,,
7501,"Gastos relacionados con actividades culturales, deportivas y de ayuda extraordinaria",,,
7503,Funerales y pagas de defunción,,,
7504,"Premios, recompensas, pensiones de gracia y pensión recreativa estudiantil",,,
1409,"Seguro de responsabilidad civil, asistencia legal y otros seguros",,,
1701,Estímulos por productividad y eficiencia,,,
1801,Incrementos a las percepciones,,,
1803,Otras medidas de carácter laboral y económicas,,,
1804,Previsiones para aportaciones al ISSSTE,,,
1805,Previsiones para aportaciones al FOVISSSTE,,,
1806,Previsiones para aportaciones al Sistema de Ahorro para el Retiro,,,
1807,Previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez,,,
1808,Previsiones para los depósitos al ahorro solidario,,,
2104,Material estadístico y geográfico,,,
2206,Productos alimenticios para el personal derivado de actividades extraordinarias,,,
2503,"Plaguicidas, abonos y fertilizantes",,,
2604,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales asignados a servidores públicos",,,
2605,"Combustibles, lubricantes y aditivos para maquinaria, equipo de producción y servicios administrativos",,,
3102,Servicio telegráfico,,,
3105,Servicio de radiolocalización,,,
3111,Contratación de otros servicios,,,
3201,Arrendamiento de edificios y locales,,,
3310,Servicios relacionados con certificación de procesos,,,
3311,Servicios relacionados con procedimientos jurisdiccionales,,,
3312,Servicios relacionados con trabajo administrativo,,,
3313,Servicios de auditoría para la fiscalización superior de la Cuenta Pública,,,
3401,"Almacenaje, embalaje y envase",,,
3601,"Impresiones de documentos oficiales para la prestación de servicios públicos, identificación, formatos administrativos y fiscales, formas valoradas, certificados y títulos",,,
3607,Servicios relacionados con monitoreo de información en medios masivos,,,
3808,Pasajes terrestres nacionales para labores en campo y de supervisión,,,
3821,Gastos para alimentación de servidores públicos de mando,,,
3832,Pasajes aéreos nacionales para labores en campo y de supervisión,,,
5501,Herramientas y máquinas herramienta,,,
5905,Otros bienes inmuebles,,,
6107,Servicios relacionados con obras públicas,,,
7511,Apoyo a voluntarios que participan en diversos programas Federales,,,
7512,Compensaciones por servicios de carácter social,,,
6105,Instalaciones y obras de construcción especializada,,,
1308,Compensaciones por servicios eventuales,,,
1408,Cuotas para el seguro colectivo de retiro,,,
1513,Apoyos a la capacitación de los servidores públicos,,,
3108,Servicios de telecomunicaciones,,,
3207,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servicios administrativos",,,
3410,Diferencias por variaciones en el tipo de cambio,,,
3802,Gastos de ceremonial de los titulares de las dependencias y entidades,,,
3805,Exposiciones,,,
7505,Donativos a instituciones sin fines de lucro,,,
1514,Pago por riesgo,,,
2501,Materias primas de producción,,,
2502,Sustancias químicas,,,
2602,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",,,
3110,Servicios integrales de telecomunicación,,,
3206,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para servicios públicos y la operación de programas públicos",,,
3417,Servicios integrales,,,
3801,Gastos de ceremonial del titular del Ejecutivo Federal,,,
3905,Pago de liquidaciones,,,
5402,Instrumental médico y de laboratorio,,,
5902,Otros bienes muebles,,,
2108,Materiales y suministros para planteles educativos,,,
5201,Maquinaria y equipo agropecuario,,,
5203,Maquinaria y equipo de construcción,,,
5502,Refacciones y accesorios,,,
2107,Material para información en actividades de investigación científica y tecnológica,,,
3823,Gastos de seguridad pública y nacional,,,
3824,Gastos en actividades de seguridad y logística del estado mayor presidencial,,,
5801,Maquinaria y equipo de defensa y seguridad pública,,,
5802,Equipo de seguridad pública y nacional,,,
1320,Compensaciones de servicios,,,
2201,"Productos alimenticios para el Ejército, Fuerza Aérea y Armada Mexicanos, y para los efectivos que participen en programas de seguridad pública",,,
2506,"Materiales, accesorios y suministros de laboratorio",,,
2801,Sustancias y materiales explosivos,,,
2802,Materiales de seguridad pública,,,
2803,Prendas de protección para seguridad pública y nacional,,,
3405,Impuestos y derechos de importación,,,
1802,Creación de plazas,,,
3213,Otros arrendamientos (Sólo para el Ramo 03 Poder Judicial),,,
5305,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales destinados a servidores públicos",,,
6102,Obras de construcción para edificios,,,
7502,Gastos por servicios de traslado de personas,,,
7801,Aportaciones a fideicomisos públicos,,,
3820,Instalación del personal Federal,,,
3903,Otros gastos por responsabilidades,,,
1327,Antigüedad,,,
2606,Combustibles para plantas productivas,,,
3210,Arrendamiento de mobiliario,,,
6103,Obras de construcción de ingeniería civil,,,
4204,Campeche,,,
4207,Chiapas,,,
4209,Distrito Federal,,,
4211,Guanajuato,,,
4213,Hidalgo,,,
4217,Morelos,,,
4220,Oaxaca,,,
4225,Sinaloa,,,
4226,Sonora,,,
4230,Veracruz,,,
4231,Yucatán,,,
2203,Productos alimenticios para el personal que realiza labores en campo o de supervisión,,,
3810,Pasajes nacionales asociados a desastres naturales,,,
3816,Viáticos nacionales asociados a desastres naturales,,,
2902,Mercancías para su distribución a la población,,,
3822,Gastos para operativos y trabajos de campo en áreas rurales,,,
1106,Asignaciones por radicación en el extranjero,,,
1329,Gastos contingentes para el personal radicado en el extranjero,,,
3807,Gastos de las oficinas del servicio exterior mexicano,,,
4203,Baja California Sur,,,
4205,Coahuila,,,
4206,Colima,,,
4208,Chihuahua,,,
4212,Guerrero,,,
4219,Nuevo León,,,
4222,Querétaro,,,
4224,San Luis Potosí,,,
4227,Tabasco,,,
4228,Tamaulipas,,,
4229,Tlaxcala,,,
4232,Zacatecas,,,
4233,Subsidios a las entidades federativas y municipios,,,
2202,"Productos alimenticios para personas derivado de la prestación de servicios públicos en unidades de salud, educativas, de readaptación social y otras",,,
3301,"Asesorías asociadas a convenios, tratados o acuerdos",,,
4216,Michoacán,,,
6101,Obras de preedificación en terrenos de construcción,,,
1410,Aportaciones al IMSS,,,
1411,Aportaciones al INFONAVIT,,,
3202,Arrendamiento de terrenos,,,
3814,Viáticos nacionales para labores en campo y de supervisión,,,
3307,Servicios estadísticos y geográficos,,,
2601,"Combustibles, lubricantes y aditivos para vehículos terrestres, aéreos, marítimos, lacustres y fluviales destinados a la ejecución de programas de seguridad pública y nacional",,,
3205,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para la ejecución de programas de seguridad pública y nacional",,,
5301,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales para la ejecución de programas de seguridad pública y nacional",,,
3809,Pasajes nacionales asociados a los programas de seguridad pública y nacional,,,
3812,Pasajes internacionales asociados a los programas de seguridad pública y nacional,,,
3818,Viáticos en el extranjero asociados a los programas de seguridad pública y nacional,,,
4202,Baja California,,,
4210,Durango,,,
4214,Jalisco,,,
4215,México,,,
4221,Puebla,,,
4223,Quintana Roo,,,
4201,Aguascalientes,,,
4218,Nayarit,,,
5904,Bienes inmuebles por arrendamiento financiero,,,
1318,Compensaciones de retiro,,,
6106,Obras de terminación y acabado de edificios,,,
5701,Edificios y locales,,,
3829,Servicios integrales en el extranjero para servidores públicos en el desempeño de comisiones y funciones oficiales,,,
7802,Aportaciones a mandatos públicos,,,
3806,Gastos de las comisiones Internacionales de límites y aguas,,,
8601,Aportaciones de la federación a los organismos del sistema nacional de coordinación fiscal,,,
3303,Consultorías para programas o proyectos financiados por organismos internacionales,,,
7206,Adquisición de acciones de organismos internacionales,,,
7507,Donativos a fideicomisos privados y estatales,,,
3408,Comisiones por ventas,,,
4105,Subsidios a la prestación de servicios públicos,,,
4101,Subsidios a la producción,,,
4107,Subsidios para capacitación y becas,,,
1501,Cuotas para el fondo de ahorro del personal civil,,,
1204,Retribuciones por servicios de carácter social,,,
3830,Participaciones en órganos de gobierno,,,
3412,Gastos inherentes a la recaudación,,,
7103,Fideicomisos para financiamientos agropecuarios,,,
7201,Fideicomisos para adquisición de títulos de crédito,,,
7508,Donativos internacionales,,,
7202,Adquisición de acciones,,,
1102,Haberes,,,
1309,Asignaciones de técnico,,,
1310,Asignaciones de mando,,,
1313,Asignaciones de técnico especial,,,
1328,Sobre haberes,,,
1402,Aportaciones al ISSFAM,,,
1405,Cuotas para el seguro de vida del personal militar,,,
1502,"Cuotas para el fondo de ahorro de generales, almirantes, jefes y oficiales",,,
1503,"Cuotas para el fondo de trabajo del personal del Ejército, Fuerza Aérea y Armada Mexicanos",,,
2205,Productos alimenticios para la población en caso de desastres naturales,,,
3416,Seguro de responsabilidad patrimonial del Estado,,,
7510,"Premios, estímulos, recompensas, becas y seguros a deportistas",,,
1312,Asignaciones de vuelo,,,
1321,"Prima de perseverancia por años de servicio activo en el Ejército, Fuerza Aérea y Armada Mexicanos",,,
5901,Bienes muebles por arrendamiento financiero,,,
4108,Subsidios a fideicomisos privados y estatales,,,
1302,Acreditación por años de servicio en la docencia y al personal administrativo de las instituciones de educación superior,,,
1324,Compensación por adquisición de material didáctico,,,
3112,Servicios generales para planteles educativos,,,
5303,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales destinados a servicios públicos y la operación de programas públicos",,,
5703,"Adjudicaciones, expropiaciones e indemnizaciones de inmuebles",,,
8509,Distrito Federal,,,
1325,Compensación por actualización y formación académica,,,
8514,Jalisco,,,
8502,Baja California,,,
5702,Terrenos,,,
3415,Proyectos para prestación de servicios,,,
8508,Chihuahua,,,
8511,Guanajuato,,,
8525,Sinaloa,,,
8526,Sonora,,,
8528,Tamaulipas,,,
3702,Difusión de mensajes comerciales para promover la venta de productos o servicios,,,
4104,Subsidios para inversión,,,
3302,Asesorías por controversias en el marco de los tratados internacionales,,,
3406,Impuestos y derechos de exportación,,,
1303,Acreditación por titulación en la docencia,,,
1304,Acreditación al personal docente por años de estudio de licenciatura,,,
1205,Compensaciones a sustitutos de profesores,,,
1323,"Asignaciones docentes, pedagógicas genéricas y específicas",,,
7509,Indemnizaciones por expropiación de predios,,,
5601,Animales de trabajo,,,
2901,Mercancías para su comercialización en tiendas del sector público,,,
7506,Donativos a entidades federativas,,,
3211,Arrendamiento de sustancias y productos químicos,,,
1504,Indemnizaciones por accidentes en el trabajo,,,
3902,Pérdidas del erario Federal,,,
1412,Aportaciones de seguridad social contractuales,,,
1326,Compensaciones a médicos residentes,,,
3815,Viáticos nacionales asociados a los programas de seguridad pública y nacional,,,
1330,Asignaciones inherentes a la conclusión de servicios en la administración pública Federal,,,
1206,Retribución a los representantes de los trabajadores y de los patrones en la junta Federal de conciliación y arbitraje,,,
3208,"Arrendamiento de vehículos terrestres, aéreos, marítimos, lacustres y fluviales para desastres naturales",,,
6104,Ensamble y edificación de construcciones prefabricadas,,,
5302,"Vehículos y equipo terrestres, aéreos, marítimos, lacustres y fluviales destinados exclusivamente para desastres naturales",,,
4302,Transferencias para adquisición de materiales y suministros,,,
7205,Adquisición de otros valores,,,
7701,Pago de pensiones y jubilaciones,,,
7704,Prestaciones económicas distintas de pensiones y jubilaciones,,,
4307,Transferencias estatutarias al IMSS y aportaciones al ISSFAM,,,
4319,Transferencias para el pago de pensiones y jubilaciones,,,
4309,Transferencias para cubrir el déficit de operación y los gastos de administración asociados al otorgamiento de subsidios,,,
4308,Transferencias para ayuda extraordinaria,,,
4303,Transferencias para contratación de servicios,,,
3507,Mantenimiento y conservación de plantas e instalaciones productivas,,,
4103,Subsidios al consumo,,,
8501,Aguascalientes,,,
8504,Campeche,,,
8505,Coahuila,,,
8506,Colima,,,
8507,Chiapas,,,
8512,Guerrero,,,
8513,Hidalgo,,,
8515,México,,,
8516,Michoacán,,,
8517,Morelos,,,
8520,Oaxaca,,,
8523,Quintana Roo,,,
8527,Tabasco,,,
8533,Gasto Federal reasignado a las entidades federativas y municipios,,,
8518,Nayarit,,,
8519,Nuevo León,,,
8521,Puebla,,,
8522,Querétaro,,,
8524,San Luis Potosí,,,
8529,Tlaxcala,,,
8530,Veracruz,,,
8531,Yucatán,,,
8532,Zacatecas,,,
7522,Apoyo financiero a representantes del Poder Legislativo y representantes de partidos políticos ante el Consejo General del IFE (Sólo para el Ramo 22 Instituto Federal Electoral),,,
3220,Otros arrendamientos (Solo para el Ramo 22 Instituto Federal Electoral),,,
7518,Apoyo financiero al Comité Nacional de Supervisión y Evaluación y a la Comisión Nacional de Vigilancia locales y distritales del Registro Federal de Electores (Sólo para el Ramo 22),,,
7519,Financiamiento público a partidos políticos y agrupaciones políticas con registro autorizado por la autoridad electoral (Sólo para el Ramo 22 Instituto Federal Electoral),,,
7602,Erogaciones recuperables,,,
7517,Dietas a consejeros electorales locales y distritales en el año electoral federal,,,
7400,Provisiones para erogaciones especiales ( No se desagrega en partidas ),,,
9202,Intereses derivados de la colocación de valores gubernamentales,,,
9301,Comisiones de la deuda interna,,,
9401,Gastos de la deuda interna,,,
9201,Intereses de la deuda interna con instituciones de crédito,,,
9209,Intereses derivados de la colocación externa de bonos,,,
9302,Comisiones de la deuda externa,,,
9402,Gastos de la deuda externa,,,
9206,Intereses de la deuda externa con instituciones de crédito,,,
9501,Costo por coberturas,,,
9208,Intereses de la deuda bilateral,,,
9207,Intereses de la deuda con organismos financieros internacionales,,,
8406,Aportaciones Federales a las entidades federativas y municipios para incrementos a las percepciones,,,
8408,Aportaciones Federales a las entidades federativas y municipios para otras medidas de carácter laboral y económicas,,,
8410,Aportaciones Federales a las entidades federativas y municipios por previsiones para aportaciones al ISSSTE,,,
8411,Aportaciones Federales a las entidades federativas y municipios por previsiones para aportaciones al FOVISSSTE,,,
8415,Aportaciones Federales a las entidades federativas y municipios por previsiones para aportaciones al sistema de ahorro para el retiro,,,
8416,Aportaciones Federales a las entidades federativas y municipios por previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez,,,
8417,Aportaciones Federales a las entidades federativas y municipios por previsiones para los depósitos al ahorro solidario,,,
8401,Aportaciones Federales a las entidades federativas y municipios para servicios personales,,,
8407,Aportaciones Federales a las entidades federativas y municipios para creación de plazas,,,
4301,Transferencias para servicios personales,,,
4312,Transferencias para aportaciones al ISSSTE,,,
4323,Transferencias para aportaciones al FOVISSSTE,,,
4330,Transferencias para aportaciones al sistema de ahorro para el retiro,,,
4333,Transferencias para aportaciones al seguro de cesantía en edad avanzada y vejez,,,
8403,Aportaciones Federales a las entidades federativas y municipios para gastos de operación,,,
4317,"Transferencias para premios y recompensas en los sistemas nacional de investigadores, de creadores y de otras disciplinas",,,
4318,Transferencias para apoyo a voluntarios en programas sociales,,,
4322,Transferencias para honorarios,,,
8402,Aportaciones Federales a las entidades federativas y municipios para aportaciones al ISSSTE,,,
8409,Aportaciones Federales a las entidades federativas y municipios para aportaciones al FOVISSSTE,,,
8412,Aportaciones Federales a las entidades federativas y municipios para aportaciones al sistema de ahorro para el retiro,,,
8413,Aportaciones Federales a las entidades federativas y municipios para aportaciones al seguro de cesantía en edad avanzada y vejez,,,
4313,Transferencias para incrementos a las percepciones,,,
4321,Transferencias para otras medidas de carácter laboral y económicas,,,
4324,Transferencias por previsiones para aportaciones al ISSSTE,,,
4325,Transferencias por previsiones para aportaciones al FOVISSSTE,,,
4331,Transferencias por previsiones para aportaciones al Sistema de Ahorro para el Retiro,,,
4335,Transferencias por previsiones para aportaciones al seguro de cesantía en edad avanzada y vejez,,,
4336,Transferencias por previsiones para los depósitos al ahorro solidario,,,
8101,Aguascalientes,,,
8102,Baja California,,,
8103,Baja California Sur,,,
8104,Campeche,,,
8105,Coahuila,,,
8106,Colima,,,
8107,Chiapas,,,
8108,Chihuahua,,,
8109,Distrito Federal,,,
8110,Durango,,,
8111,Guanajuato,,,
8112,Guerrero,,,
8113,Hidalgo,,,
8114,Jalisco,,,
8115,México,,,
8116,Michoacán,,,
8117,Morelos,,,
8118,Nayarit,,,
8119,Nuevo León,,,
8120,Oaxaca,,,
8121,Puebla,,,
8122,Querétaro,,,
8123,Quintana Roo,,,
8124,San Luis Potosí,,,
8125,Sinaloa,,,
8126,Sonora,,,
8127,Tabasco,,,
8128,Tamaulipas,,,
8129,Tlaxcala,,,
8130,Veracruz,,,
8131,Yucatán,,,
8132,Zacatecas,,,
8201,Aguascalientes,,,
8202,Baja California,,,
8203,Baja California Sur,,,
8204,Campeche,,,
8205,Coahuila,,,
8206,Colima,,,
8207,Chiapas,,,
8208,Chihuahua,,,
8209,Distrito Federal,,,
8210,Durango,,,
8211,Guanajuato,,,
8212,Guerrero,,,
8213,Hidalgo,,,
8214,Jalisco,,,
8215,México,,,
8216,Michoacán,,,
8217,Morelos,,,
8218,Nayarit,,,
8219,Nuevo León,,,
8220,Oaxaca,,,
8221,Puebla,,,
8222,Querétaro,,,
8223,Quintana Roo,,,
8224,San Luis Potosí,,,
8225,Sinaloa,,,
8226,Sonora,,,
8227,Tabasco,,,
8228,Tamaulipas,,,
8229,Tlaxcala,,,
8230,Veracruz,,,
8231,Yucatán,,,
8232,Zacatecas,,,
8301,Aguascalientes,,,
8302,Baja California,,,
8303,Baja California Sur,,,
8304,Campeche,,,
8305,Coahuila,,,
8306,Colima,,,
8307,Chiapas,,,
8308,Chihuahua,,,
8309,Distrito Federal,,,
8310,Durango,,,
8311,Guanajuato,,,
8312,Guerrero,,,
8313,Hidalgo,,,
8314,Jalisco,,,
8315,México,,,
8316,Michoacán,,,
8317,Morelos,,,
8318,Nayarit,,,
8319,Nuevo León,,,
8320,Oaxaca,,,
8321,Puebla,,,
8322,Querétaro,,,
8323,Quintana Roo,,,
8324,San Luis Potosí,,,
8325,Sinaloa,,,
8326,Sonora,,,
8327,Tabasco,,,
8328,Tamaulipas,,,
8329,Tlaxcala,,,
8330,Veracruz,,,
8331,Yucatán,,,
8332,Zacatecas,,,
8603,Asignaciones compensatorias a entidades federativas,,,
9601,Adeudos de Ejercicios Fiscales Anteriores,,,
8404,Aportaciones Federales a las entidades federativas y municipios para gastos de inversión,,,
8405,Aportaciones Federales a las entidades federativas y municipios,,,
8414,Aportaciones Federales a las entidades federativas y municipios para los depósitos al ahorro solidario,,,
9702,Apoyos a ahorradores y deudores de la banca,,,
2400,Materiales y artículos de construcción,,,
2100,Materiales y útiles de administración y de enseñanza,,,
2200,Productos alimenticios,,,
2600,"Combustibles, lubricantes y aditivos",,,
2700,"Vestuario, blancos, prendas de protección personal y artículos deportivos",,,
3100,Servicios básicos,,,
3200,Servicios de arrendamiento,,,
3400,"Servicios comercial, bancario, financiero, subcontratación de servicios con terceros y gastos inherentes",,,
3600,"Servicios de impresión, grabado, publicación, difusión e información",,,
3800,Servicios oficiales,,,
3300,"Asesorías, consultorías, servicios informáticos, estudios e investigaciones y otros servicios",,,
3500,Servicios de mantenimiento y conservación,,,
3604,Derogada,,,